UNPROTECTED,SPEED_ZONE,MAX_AGE,SEX,LIGHT_CONDITION,severity_index,SEVERITY
1,100,39,1,5,3,1
1,110,39,1,5,3,1
1,80,39,1,3,3,1
1,100,39,1,1,8,1
1,80,39,0,3,5,1
1,100,39,1,3,5,1
1,100,39,0,1,5,1
1,80,39,1,2,4,1
1,110,39,1,1,20,1
1,100,39,1,5,3,1
1,100,39,0,1,5,1
1,100,39,1,5,3,1
1,100,39,0,1,5,1
1,100,39,1,1,7,1
1,100,39,1,5,5,1
1,100,39,1,5,54,1
1,80,39,1,1,3,1
1,100,39,1,1,3,1
1,80,39,1,3,3,1
1,80,39,1,3,3,1
1,80,39,0,3,3,1
1,80,39,0,1,8,1
1,100,39,0,5,54,1
1,80,39,1,3,3,1
1,100,39,1,5,9,1
1,80,39,1,3,9,1
1,80,39,1,1,3,1
1,80,39,1,9,3,1
1,80,39,1,1,3,1
1,100,39,0,2,12,1
1,80,39,1,5,4,1
1,80,39,1,4,3,1
1,100,39,1,5,7,1
1,100,39,1,5,4,1
1,100,39,1,1,3,1
1,80,39,0,1,15,1
1,100,39,1,1,3,1
1,100,39,1,5,3,1
1,80,39,1,1,5,1
1,100,39,1,5,6,1
1,80,39,1,3,7,1
1,100,39,1,5,4,1
1,80,39,1,5,3,1
1,100,39,1,1,3,1
1,100,39,1,1,3,1
1,80,39,1,1,19,1
1,100,39,0,1,16,1
1,80,39,0,3,4,1
1,100,39,1,5,4,1
1,100,39,0,3,3,1
1,100,39,1,5,6,1
1,110,39,0,1,11,1
1,100,39,1,2,3,1
1,100,39,1,1,9,1
1,80,39,1,1,5,1
1,100,39,1,3,3,1
1,100,39,1,5,7,1
1,100,39,1,5,9,1
1,80,39,1,2,5,1
1,80,39,1,1,3,1
1,100,39,1,2,3,1
1,110,39,1,1,12,1
1,100,39,1,1,5,1
1,100,39,1,1,5,1
1,100,39,0,5,54,1
1,100,39,0,1,10,1
1,100,39,1,1,12,1
1,100,39,1,1,3,1
1,80,39,1,5,3,1
1,100,39,0,1,3,1
1,100,39,0,1,8,1
1,100,39,0,5,54,1
1,90,39,1,1,6,1
1,80,39,1,1,3,1
1,80,39,1,3,4,1
1,80,39,1,1,5,1
1,100,39,1,1,3,1
1,100,39,1,1,3,1
1,100,39,1,1,6,1
1,100,39,1,1,3,1
1,100,39,1,1,11,1
1,80,39,1,1,5,1
1,100,39,1,1,5,1
1,100,39,1,5,3,1
1,100,39,1,5,6,1
1,100,39,1,1,3,1
1,100,39,1,1,3,1
1,80,39,0,3,8,1
1,80,39,1,5,4,1
1,80,39,1,1,4,1
1,100,39,1,5,6,1
1,100,39,1,1,8,1
1,100,39,1,5,5,1
1,100,39,1,5,54,1
1,100,39,1,5,3,1
1,100,39,1,5,9,1
1,100,39,1,5,3,1
1,100,39,1,1,3,1
1,80,39,1,1,3,1
1,100,39,1,1,15,1
1,110,39,1,5,5,1
1,100,39,1,5,6,1
1,80,39,1,2,3,1
1,100,49,1,2,3,1
1,100,49,1,5,7,1
1,100,49,1,5,54,1
1,100,49,1,1,3,1
1,100,49,1,1,3,1
1,100,49,0,5,3,1
1,80,49,1,5,12,1
1,80,49,1,1,19,1
1,110,49,1,1,20,1
1,100,49,0,1,15,1
1,80,49,1,1,3,1
1,100,49,1,5,5,1
1,100,49,1,5,3,1
1,80,49,1,1,5,1
1,100,49,1,1,7,1
1,80,49,1,5,7,1
1,100,49,1,1,10,1
1,80,49,0,1,5,1
1,80,49,1,3,3,1
1,100,49,1,1,10,1
1,100,49,1,2,6,1
1,110,49,1,1,4,1
1,100,49,1,1,6,1
1,100,49,1,1,3,1
1,110,49,1,1,10,1
1,100,49,0,1,9,1
1,80,49,1,1,3,1
1,110,49,1,5,3,1
1,100,49,0,5,6,1
1,110,49,1,5,5,1
1,110,49,1,5,3,1
1,100,49,0,1,3,1
1,100,49,1,1,3,1
1,100,49,1,1,7,1
1,80,49,1,5,3,1
1,100,49,1,5,3,1
1,100,49,1,5,3,1
1,100,49,0,1,9,1
1,100,49,0,5,3,1
1,100,49,1,1,3,1
1,100,49,1,5,3,1
1,100,49,1,3,6,1
1,100,49,1,1,8,1
1,100,49,1,9,8,1
1,110,49,1,1,8,1
1,100,49,1,1,3,1
1,100,49,0,1,3,1
1,100,49,1,5,3,1
1,100,49,1,1,4,1
1,100,49,1,5,3,1
1,100,49,1,1,4,1
1,100,49,1,5,7,1
1,80,49,1,1,14,1
1,110,49,1,1,7,1
1,100,49,1,5,4,1
1,80,49,1,3,3,1
1,100,49,1,5,3,1
1,80,49,0,1,3,1
1,110,49,1,1,5,1
1,100,49,0,5,54,1
1,100,49,1,1,15,1
1,100,49,1,5,3,1
1,90,49,1,1,3,1
1,80,49,1,1,8,1
1,80,49,1,3,8,1
1,100,49,1,2,4,1
1,100,49,1,1,5,1
1,100,49,0,5,54,1
1,80,49,1,5,8,1
1,80,49,1,1,14,1
1,100,49,0,1,18,1
1,100,49,0,1,15,1
1,100,49,1,1,4,1
1,80,49,1,1,6,1
1,100,49,1,1,6,1
1,100,49,1,1,5,1
1,100,49,1,1,15,1
1,80,49,0,1,19,1
1,100,49,0,1,6,1
1,100,49,0,1,11,1
1,100,49,1,1,7,1
1,110,49,0,1,10,1
1,100,49,0,1,6,1
1,100,49,1,9,3,1
1,100,49,1,1,3,1
1,80,49,0,1,3,1
1,100,49,1,1,3,1
1,110,49,1,5,3,1
1,80,49,0,1,3,1
1,100,49,0,5,3,1
1,100,49,1,1,3,1
1,80,49,0,1,3,1
1,80,49,0,1,3,1
1,100,49,1,1,3,1
1,100,49,1,1,4,1
1,100,49,0,5,4,1
1,80,49,1,1,5,1
1,100,49,1,1,6,1
1,100,49,1,5,5,1
1,110,49,0,5,5,1
1,100,49,0,5,9,1
1,80,49,1,1,3,1
1,110,49,1,1,14,1
1,100,49,1,1,7,1
1,80,49,1,3,6,1
1,80,49,1,2,8,1
1,80,49,1,1,5,1
1,100,49,1,1,11,1
1,80,49,1,3,12,1
1,100,49,1,5,3,1
1,100,49,0,2,10,1
1,100,49,1,5,9,1
1,80,49,1,1,6,1
1,100,49,0,1,7,1
1,100,49,1,1,3,1
1,100,49,0,1,21,1
1,100,49,1,1,15,1
1,110,49,1,2,13,1
1,100,49,0,1,8,1
1,100,49,1,1,3,1
1,110,49,1,5,5,1
1,100,49,1,1,6,1
1,110,49,1,5,5,1
1,100,49,1,2,3,1
1,100,49,0,5,5,1
1,100,49,0,5,4,1
1,100,49,1,1,7,1
1,80,49,1,1,3,1
1,100,49,1,5,3,1
1,80,49,0,1,14,1
1,100,49,1,1,3,1
1,80,49,1,2,5,1
1,100,49,1,5,3,1
1,100,49,1,5,4,1
1,80,49,1,1,3,1
1,80,49,1,1,3,1
1,100,49,0,1,11,1
1,80,49,1,1,5,1
1,80,49,1,1,3,1
1,110,49,1,2,9,1
1,80,49,1,5,5,1
1,100,49,1,5,4,1
1,100,49,1,1,3,1
1,100,49,1,5,8,1
1,100,49,0,1,18,1
1,100,49,0,2,5,1
1,80,49,1,1,7,1
1,100,49,1,5,18,1
1,100,49,1,5,6,1
1,100,49,1,2,3,1
1,100,49,1,3,3,1
1,110,49,1,1,10,1
1,110,49,1,5,3,1
1,80,49,0,1,5,1
1,100,49,1,1,3,1
1,80,49,0,1,8,1
1,80,49,0,1,14,1
1,100,49,1,1,3,1
1,100,49,1,5,5,1
1,100,49,1,5,3,1
1,100,49,1,1,7,1
1,100,49,1,1,15,1
1,110,49,1,5,5,1
1,100,49,1,1,5,1
1,100,49,1,5,4,1
1,80,49,1,1,19,1
1,80,49,1,3,7,1
1,80,49,1,1,9,1
1,80,49,1,3,3,1
1,100,49,1,5,4,1
1,80,49,1,2,8,1
1,110,49,1,1,20,1
1,80,49,1,5,4,1
1,80,49,1,1,8,1
1,110,49,0,1,14,1
1,110,49,0,2,13,1
1,80,49,0,1,5,1
1,100,49,0,1,15,1
1,80,49,1,1,3,1
1,100,59,1,1,8,1
1,80,59,0,1,5,1
1,100,59,0,5,9,1
1,100,59,1,1,7,1
1,100,59,1,1,3,1
1,100,59,1,1,3,1
1,90,59,0,1,3,1
1,100,59,1,1,4,1
1,100,59,1,5,3,1
1,80,59,0,1,12,1
1,100,59,1,1,6,1
1,100,59,1,1,3,1
1,100,59,1,1,3,1
1,80,59,1,1,5,1
1,100,59,1,1,4,1
1,80,59,1,1,4,1
1,100,59,1,1,3,1
1,80,59,1,1,3,1
1,80,59,1,1,5,1
1,100,59,1,1,3,1
1,100,59,1,1,15,1
1,100,59,1,1,3,1
1,100,59,1,1,3,1
1,110,59,1,1,11,1
1,110,59,0,1,3,1
1,100,59,0,1,21,1
1,80,59,0,1,3,1
1,100,59,1,1,5,1
1,100,59,1,1,9,1
1,100,59,1,2,7,1
1,100,59,1,1,4,1
1,100,59,1,5,18,1
1,80,59,1,1,3,1
1,80,59,1,1,3,1
1,100,59,1,1,5,1
1,100,59,1,1,3,1
1,100,59,1,2,3,1
1,80,59,1,1,4,1
1,100,59,0,5,5,1
1,80,59,1,5,5,1
1,100,59,0,5,54,1
1,100,59,1,1,3,1
1,100,59,0,1,6,1
1,100,59,1,1,12,1
1,100,59,1,1,4,1
1,100,59,1,1,3,1
1,110,59,1,2,9,1
1,100,59,1,5,4,1
1,100,59,1,1,11,1
1,100,59,1,5,18,1
1,100,59,1,5,3,1
1,100,59,1,2,5,1
1,90,59,1,1,3,1
